0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
JLPT-N4	46	人口	じんこう	Noun	1.-population	2.-common talk	3.-Population																								
JLPT-N4	47	故障	こしょう	Noun, Suru verb	1.-breakdown; failure; fault; accident; out of order	2.-damage; hurt	3.-objection; protest	4.-Failure																							
JLPT-N4	48	残念	ざんねん	Na-adjective, Noun	1.-deplorable; regrettable; disappointing; vexing; unfortunate	2.-Regret (emotion)																									
JLPT-N4	49	島	しま	Noun	1.-island	2.-territory (of a sex worker, organized crime gang, etc.); turf	3.-Island																								
JLPT-N4	50	歴史	れきし	Noun, No-adjective	1.-history	2.-History																									
JLPT-N4	51	教会	きょうかい	Noun	1.-church; congregation	2.-Christian Church																									
JLPT-N4	52	社会	しゃかい	Noun	1.-society; public; community; the world	2.-social studies	3.-Society																								
JLPT-N4	53	住所	じゅうしょ	Noun	1.-address (e.g. of house); residence; domicile	2.-Address (geography)																									
JLPT-N4	54	工場	こうじょう	Noun	1.-factory; plant; mill; workshop	2.-Factory																									
JLPT-N4	55	趣味	しゅみ	Noun	1.-hobby; pastime	2.-tastes; preference; liking	3.-Hobby																								
JLPT-N4	56	経済	けいざい	Noun, Suru verb	1.-economics; business; finance; economy	2.-Economy																									
JLPT-N4	57	台風	たいふう	Noun	1.-typhoon; hurricane	2.-Typhoon																									
JLPT-N4	58	卒業	そつぎょう	Noun, Suru verb	1.-graduation; completion (of a course)	2.-moving on (from); outgrowing (something); leaving (a group, company, etc.); quitting	3.-Graduation																								
JLPT-N4	59	雲	くも	Noun	1.-cloud	2.-Cloud																									
JLPT-N4	60	科学	かがく	Noun	1.-science	2.-Science																									
JLPT-N4	61	科学	かがく	Noun	1.-science	2.-Science																									
JLPT-N4	62	光	ひかり	Noun	1.-light	2.-illumination; ray; beam; gleam; glow	3.-happiness; hope	4.-influence; power	5.-vision; eyesight	6.-Light																					
JLPT-N4	63	政治	せいじ	Noun	1.-politics; government	2.-Politics																									
JLPT-N4	64	特別	とくべつ	Na-adjective, No-adjective, Adverb, Noun	1.-special; particular; extraordinary; exceptional; especial	2.-Particular																									
JLPT-N4	65	水泳	すいえい	Noun, Suru verb, No-adjective	1.-swimming	2.-Human swimming																									
JLPT-N4	66	講義	こうぎ	Noun, Suru verb	1.-lecture	2.-Lecture																									
JLPT-N4	67	指	ゆび	Noun	1.-finger; toe; digit	2.-Finger																									
JLPT-N4	68	生産	せいさん	Noun, Suru verb	1.-production; manufacture	2.-Outline of industrial organization																									
JLPT-N4	69	会話	かいわ	Noun, Suru verb	1.-conversation	2.-Conversation																									
JLPT-N4	70	玩具	おもちゃ	Noun	1.-toy; plaything	2.-Toy																									
JLPT-N4	71	季節	きせつ	Noun, No-adjective	1.-season; time of year	2.-Season																									
JLPT-N4	72	翻訳	ほんやく	Noun, Suru verb	1.-translation	2.-deciphering; decoding	3.-translation	4.-Translation																							
JLPT-N4	73	貿易	ぼうえき	Noun, Suru verb	1.-trade (foreign)	2.-International trade																									
JLPT-N4	74	文学	ぶんがく	Noun	1.-literature	2.-Literature																									
JLPT-N4	75	葉	は	Noun	1.-leaf; blade (of grass); (pine) needle	2.-Leaf																									
JLPT-N4	76	交通	こうつう	Noun, Suru verb	1.-traffic; transportation; communication; exchange (of ideas, etc.); intercourse	2.-Transport																									
JLPT-N4	77	遊び	あそ	Noun, Noun - used as a suffix	1.-playing	2.-play (margin between on and off, gap before pressing button or lever has an effect)	3.-Play (activity)																								
JLPT-N4	78	道具	どうぐ	Noun	1.-tool; implement; instrument; utensil; apparatus; device	2.-means	3.-furniture	4.-Tool																							
JLPT-N4	79	入学	にゅうがく	Noun, Suru verb	1.-entry to school or university; matriculation; enrolment (in university, etc.) (enrollment)	2.-Matriculation																									
JLPT-N4	80	背中	せなか	Noun	1.-back (of body)	2.-Human back																									
JLPT-N4	81	発音	はつおん	Noun, Suru verb	1.-pronunciation	2.-production of sound	3.-Pronunciation																								
JLPT-N4	82	指輪	ゆびわ	Noun	1.-(finger) ring	2.-Ring (jewellery)																									
JLPT-N4	83	医学	いがく	Noun	1.-medical science; medicine	2.-Medicine																									
JLPT-N4	84	漫画	まんが	Noun	1.-cartoon; comic; comic strip; manga	2.-Comics	3.-マンガ																								
JLPT-N4	85	鏡	かがみ	Noun	1.-mirror; looking-glass	2.-barrel head	3.-page added at the beginning of a document mentioning its purpose, date, author, etc.	4.-mirror-shaped mochi	5.-Mirror																						
JLPT-N4	86	電報	でんぽう	Noun	1.-telegram	2.-Telegraphy																									
JLPT-N4	87	校長	こうちょう	Noun	1.-principal; headmaster	2.-Head teacher																									
JLPT-N4	88	市民	しみん	Noun	1.-citizen; citizenry; public	2.-city inhabitant; townspeople	3.-bourgeoisie; middle class	4.-Citizenship																							
JLPT-N4	89	郊外	こうがい	Noun	1.-suburb; residential area on the outskirt of a city; commuter belt	2.-Suburb																									
JLPT-N4	90	砂	すな	Noun	1.-sand; grit	2.-gold dust; silver dust	3.-Sand																								
JLPT-N4	91	手袋	てぶくろ	Noun	1.-glove; mitten; mitt	2.-Glove																									
JLPT-N4	92	絹	きぬ	Noun	1.-silk	2.-Silk																									
JLPT-N4	93	日記	にっき	Noun	1.-diary; journal	2.-Diary																									
JLPT-N4	94	文法	ぶんぽう	Noun, No-adjective	1.-grammar; syntax	2.-Grammar																									
JLPT-N4	95	糸	いと	Noun, Noun - used as a suffix	1.-thread; yarn; string	2.-Yarn																									
JLPT-N4	96	神社	じんじゃ	Noun	1.-Shinto shrine	2.-Shinto shrine																									
JLPT-N4	97	小学校	しょうがっこう	Noun	1.-primary school; elementary school; grade school	2.-Primary school																									
JLPT-N4	98	展覧会	てんらんかい	Noun	1.-exhibition	2.-Art exhibition																									
JLPT-N4	99	駐車場	ちゅうしゃじょう	Noun	1.-parking lot; car park; carpark; parking garage	2.-Parking lot																									
JLPT-N4	100	先輩	せんぱい	Noun	1.-senior (at work or school); superior; elder; older graduate; progenitor; old-timer	2.-Senpai and kōhai																									
JLPT-N4	101	西洋	せいよう	Noun	1.-the West; the Occident; Western countries	2.-Western world																									
JLPT-N4	102	坂	さか	Noun	1.-slope; hill	2.-Grade (slope)																									
JLPT-N4	103	注射	ちゅうしゃ	Noun, Suru verb	1.-injection	2.-Injection (medicine)																									
JLPT-N4	104	乗り物	のもの	Noun	1.-vehicle; conveyance; transport	2.-ride (playground, fair, carnival); playground facility	3.-Vehicle																								
JLPT-N4	105	旅館	りょかん	Noun	1.-ryokan; traditional inn; Japanese-style lodging, usu. professionally-run	2.-Ryokan (Japanese inn)																									
JLPT-N4	106	林	はやし	Noun	1.-woods; forest; copse; thicket	2.-bunch; line (of something); collection	3.-Hayashi																								
JLPT-N4	107	布団	布団ふとん	Noun	1.-futon; Japanese bedding consisting of a mattress and a duvet	2.-round cushion used for Zen meditation (traditionally made of woven bulrush leaves)	3.-Futon																								
JLPT-N4	108	研究室	けんきゅうしつ	Noun	1.-laboratory	2.-seminar room	3.-professor's office	4.-Laboratory																							
JLPT-N4	109	会議室	かいぎしつ	Noun	1.-conference room; council room	2.-Conference hall																									
JLPT-N4	110	柔道	じゅうどう	Noun	1.-judo	2.-Judo																									
JLPT-N4	111	中学校	ちゅうがっこう	Noun	1.-junior high school; middle school; lower secondary school	2.-Middle school																									
JLPT-N4	112	高等学校	こうとうがっこう	Noun	1.-senior high school; high school	2.-High school																									
JLPT-N4	113	公務員	こうむいん	Noun	1.-government worker; public servant; civil servant	2.-Civil service																									
JLPT-N4	114	花見	はなみ	Noun, Suru verb	1.-cherry blossom viewing; flower viewing	2.-Hanami																									
JLPT-N4	115	辞典	じてん	Noun	1.-dictionary; lexicon	2.-Dictionary																									
JLPT-N4	116	心	こころ	Noun	1.-mind; heart; spirit	2.-the meaning of a phrase (riddle, etc.)	3.-Mind																								
JLPT-N4	117	力	ちから	Noun	1.-force; strength; might; vigour (vigor); energy	2.-capability; ability; proficiency; capacity; faculty	3.-efficacy; effect	4.-effort; endeavours (endeavors); exertions	5.-power; authority; influence; good offices; agency	6.-support; help; aid; assistance	7.-stress; emphasis	8.-means; resources	9.-Force																		
JLPT-N4	118	喧嘩	けんか	Noun, Suru verb	1.-quarrel; brawl; fight; squabble; scuffle; argument	2.-Brawling (legal definition)																									
JLPT-N4	119	天気予報	てんきよほう	Noun	1.-weather forecast; weather report	2.-Weather forecasting																									
JLPT-N4	120	髭	ひげ	Noun	1.-moustache; beard; whiskers	2.-whiskers (on a cat, etc.); feelers (on an insect, etc.); (chin) tuft	3.-extremely short pulse appearing on an electrical signal	4.-Beard																							
JLPT-N4	121	押し入れ	おい	Noun	1.-closet	2.-Closet																									
JLPT-N4	122	味噌	みそ	Noun	1.-miso; fermented condiment usu. made from soybeans	2.-innards (from crabs, shrimps, etc.) resembling miso	3.-key (main) point; good part (of something)	4.-weakling; weak person	5.-try	6.-Miso																					
JLPT-N4	123	皆	みんな	Adverb, Noun	1.-all; everyone; everybody	2.-everything																									
JLPT-N4	124	明日	あした	Temporal noun	1.-tomorrow	2.-near future																									
JLPT-N4	125	掛ける	か	Ichidan verb, Transitive verb	1.-to hang up (e.g. a coat, a picture on the wall); to let hang; to suspend (from); to hoist (e.g. sail); to raise (e.g. flag)	2.-to put on (e.g. a blanket); to put on top of; to cover; to lay; to spread	3.-to put on (glasses, etc.); to wear (a necklace, etc.)	4.-to make (a call)	5.-to spend (time, money); to expend; to use	6.-to pour (liquid) onto; to sprinkle (powder or spices) onto; to splash; to throw (e.g. water) onto	7.-to turn on (an engine, radio, etc.); to set (a dial, an alarm clock, etc.); to put on (a DVD, a song, etc.)	8.-to cause (somebody inconvenience, trouble, etc.); to burden (someone); to impose	9.-to multiply (arithmetic operation)	10.-to secure (e.g. lock)	11.-to take a seat; to sit; to rest (something on something else); to support (something on something else)	12.-to bind	13.-to wager; to bet; to risk; to stake; to gamble	14.-to put an effect (spell, anaesthetic, etc.) on	15.-to hold (a play, festival, etc.)	16.-to hold an emotion for (pity, hope, etc.)	17.-to argue (in court); to deliberate (in a meeting); to present (e.g. idea to a conference, etc.)	18.-to increase further	19.-to catch (in a trap, etc.)	20.-to set atop	21.-to erect (a makeshift building)	22.-to apply (insurance)	23.-to pun (on a word); to use (a word) as a pivot word; to play on words	24.-to be partway doing ...; to begin (but not complete) ...; to be about to ...	25.-to address (someone); to direct (something, to someone); to do (something, to someone)		
