0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
JLPT-N2	1	上げる	あ	Ichidan verb, Transitive verb	1.-to raise; to elevate	2.-to do up (one's hair)	3.-to fly (a kite, etc.); to launch (fireworks, etc.); to surface (a submarine, etc.)	4.-to land (a boat)	5.-to deep-fry	6.-to show someone (into a room)	7.-to give	8.-to send someone (away)	9.-to enrol (one's child in school); to enroll	10.-to increase (price, quality, status, etc.); to develop (talent, skill); to improve	11.-to make (a loud sound); to raise (one's voice)	12.-to earn (something desirable)	13.-to praise	14.-to give (an example, etc.); to cite	15.-to summon up (all of one's energy, etc.)	16.-to arrest	17.-to nominate	18.-to summon (for geishas, etc.)	19.-to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.)	20.-to bear (a child)	21.-to conduct (a ceremony, esp. a wedding)	22.-(of the tide) to come in	23.-to vomit	24.-to do for (the sake of someone else)	25.-to complete ...	26.-to humbly do ...	27.-Deep frying
JLPT-N2	2	箸	はし	Noun	1.-chopsticks	2.-Chopsticks																									
JLPT-N2	3	茶碗	ちゃわん	Noun	1.-rice bowl; tea cup; teacup	2.-Chawan																									
JLPT-N2	4	石鹸	せっけん	Noun	1.-soap	2.-Soap																									
JLPT-N2	5	髭	ひげ	Noun	1.-moustache; beard; whiskers	2.-whiskers (on a cat, etc.); feelers (on an insect, etc.); (chin) tuft	3.-extremely short pulse appearing on an electrical signal	4.-Beard																							
JLPT-N2	6	機械	きかい	Noun	1.-machine; mechanism	2.-instrument; appliance; apparatus	3.-Machine																								
JLPT-N2	7	羽	はね	Noun	1.-feather; plume; down	2.-wing	3.-blade (of a fan, propeller, etc.)	4.-shuttlecock (in badminton)	5.-shuttlecock (in hanetsuki)	6.-arrow feathers	7.-Flügel																				
JLPT-N2	8	儀式	ぎしき	Noun, No-adjective	1.-ceremony; rite; ritual; service	2.-Gishiki	3.-Ritual																								
JLPT-N2	9	職人	しょくにん	Noun	1.-craftsman; artisan; tradesman; worker; workman	2.-Shokunin	3.-Artisan																								
JLPT-N2	10	南極	なんきょく	Noun, No-adjective	1.-South Pole	2.-the Antarctic; Antarctica	3.-Antarctica; South Pole	4.-Antarctic																							
JLPT-N2	11	北極	ほっきょく	Noun, No-adjective	1.-North Pole	2.-the Arctic	3.-Hokkyoku	4.-Arctic																							
JLPT-N2	12	昼寝	ひるね	Noun, Suru verb	1.-nap (afternoon); siesta	2.-Hirune	3.-Nap																								
JLPT-N2	13	新幹線	しんかんせん	Noun	1.-Shinkansen; bullet train	2.-Shinkansen	3.-Shinkansen																								
JLPT-N2	14	大通り	おおどお	Noun	1.-main street	2.-Oodoori	3.-Main Street																								
JLPT-N2	15	木材	もくざい	Noun	1.-lumber; timber; wood	2.-Mokuzai	3.-Wood																								
JLPT-N2	16	運河	うんが	Noun	1.-(navigable) canal; waterway	2.-Unga	3.-Canal																								
JLPT-N2	17	遊園地	ゆうえんち	Noun	1.-amusement park	2.-Yuuenchi	3.-Amusement park																								
JLPT-N2	18	蛇口	じゃぐち	Noun	1.-faucet; tap	2.-Jaguchi	3.-Tap (valve)																								
JLPT-N2	19	天皇	てんのう	Noun	1.-Emperor of Japan	2.-Tennou	3.-Emperor of Japan																								
JLPT-N2	20	溶岩	ようがん	Noun	1.-lava	2.-Yougan	3.-Lava																								
JLPT-N2	21	武士	ぶし	Noun	1.-warrior; samurai	2.-Mononofu	3.-Samurai																								
JLPT-N2	22	苗字	みょうじ	Noun	1.-surname; family name	2.-Myouji	3.-Japanese name																								
JLPT-N2	23	有る	あ	Godan verb with ru ending (irregular verb), intransitive verb	1.-to be; to exist; to live	2.-to have	3.-to be located	4.-to be equipped with	5.-to happen; to come about																						
JLPT-N2	24	作る	つく	Godan verb with ru ending, Transitive verb	1.-to make; to produce; to manufacture; to build; to construct	2.-to prepare (food); to brew (alcohol)	3.-to raise; to grow; to cultivate; to train	4.-to till	5.-to draw up (a document); to make out; to prepare; to write	6.-to create (an artistic work, etc.); to compose	7.-to coin (a phrase); to organize; to organise; to establish; to found	8.-to have (a child)	9.-to make up (one's face, etc.)	10.-to fabricate (an excuse, etc.)	11.-to give a (false) appearance; to feign (a smile, etc.); to put on a show of emotion	12.-to form (a line, etc.)	13.-to set (a record)	14.-to commit (a sin, etc.)													
JLPT-N2	25	長い	なが	I-adjective	1.-long (distance)	2.-long (time); lengthy																									
JLPT-N2	26	立つ	た	Godan verb with tsu ending, intransitive verb	1.-to stand; to rise; to stand up	2.-to find oneself (e.g. in a difficult position)	3.-to depart (on a plane, train, etc.)																								
JLPT-N2	27	上る	のぼ	Godan verb with ru ending, intransitive verb	1.-to ascend; to go up; to climb	2.-to ascend (as a natural process, e.g. the Sun); to rise	3.-to go to (the capital)	4.-to be promoted	5.-to add up to	6.-to advance (in price)	7.-to swim up (a river); to sail up	8.-to come up (on the agenda)																			
JLPT-N2	28	飛ぶ	と	Godan verb with bu ending, intransitive verb	1.-to fly; to soar	2.-to jump; to leap; to spring; to bound; to hop	3.-to spatter; to scatter; to splash; to fly (e.g. of sparks)	4.-to hurry; to rush	5.-to flee; to run off; to escape	6.-to disappear; to vanish; to fade; to thin out	7.-to break off; to come off; to fall off; to blow (of a fuse)	8.-to be sent out (of an order); to fly (of false rumours, catcalls, etc.)	9.-to come flying (of a punch, kick, etc.)	10.-to be missing (of a page, stitch, etc.); to skip; to jump (e.g. of a conversation)																	
JLPT-N2	29	止まる	と	Godan verb with ru ending, intransitive verb	1.-to stop (moving); to come to a stop	2.-to stop (doing, working, being supplied); to come to a halt; to cease; to be stopped; to be suspended	3.-to alight; to perch on																								
JLPT-N2	30	勤める	つと	Ichidan verb, Transitive verb	1.-to work (for); to be employed (at); to serve (in)	2.-to serve (as); to act (as); to fill (the position of); to play the role (of)	3.-to conduct a religious service																								
JLPT-N2	31	丸い	まる	I-adjective	1.-round; circular; spherical	2.-curved; smooth	3.-harmonious; calm; peaceful; amiable; amicable																								
JLPT-N2	32	一昨年	おととし	Adverbial noun, Temporal noun	1.-year before last																										
JLPT-N2	33	会う	あ	Godan verb with u ending, intransitive verb	1.-to meet; to encounter; to see	2.-to have an accident; to have a bad experience																									
JLPT-N2	34	分かる	わ	Godan verb with ru ending, intransitive verb	1.-to understand; to comprehend; to grasp; to see; to get; to follow	2.-to become clear; to be known; to be discovered; to be realized; to be realised; to be found out	3.-I know!; I think so too!																								
JLPT-N2	35	出かける	で	Ichidan verb, intransitive verb	1.-to go out (e.g. on an excursion or outing); to leave; to depart; to start; to set out	2.-to be about to leave; to be just going out																									
JLPT-N2	36	付ける	つ	Ichidan verb, Transitive verb	1.-to attach; to join; to add; to append; to affix; to stick; to glue; to fasten; to sew on; to apply (ointment)	2.-to furnish (a house with)	3.-to wear; to put on	4.-to keep a diary; to make an entry	5.-to appraise; to set (a price)	6.-to allot; to budget; to assign	7.-to bring alongside	8.-to place (under guard or doctor)	9.-to follow; to shadow	10.-to load; to give (courage to)	11.-to keep (an eye on)	12.-to establish (relations or understanding)	13.-to turn on (light)	14.-to produce flowers; to produce fruit													
JLPT-N2	37	無くす	な	Godan verb with su ending, Transitive verb	1.-to lose (something); to mislay	2.-to get rid of; to eliminate; to remove																									
JLPT-N2	38	奥さん	おく	Noun	1.-wife; your wife; his wife; married lady; madam																										
JLPT-N2	39	再来年	さらいねん	Adverbial noun, Temporal noun	1.-year after next																										
JLPT-N2	40	面接	めんせつ	Noun, Suru verb	1.-interview (e.g. for a job)	2.-Job interview																									
JLPT-N2	41	資料	しりょう	Noun, No-adjective	1.-materials; data; document	2.-Primary source																									
JLPT-N2	42	唇	くちびる	Noun	1.-lips	2.-Lip																									
JLPT-N2	43	望遠鏡	ぼうえんきょう	Noun	1.-telescope	2.-Telescope																									
JLPT-N2	44	群れ	む	Noun	1.-group; crowd; flock; herd; bevy; school; swarm; cluster (e.g. of stars); clump; pack (e.g. of dogs)	2.-Herd																									
JLPT-N2	45	解放	かいほう	Noun, Suru verb	1.-release; unleashing; liberation; emancipation; setting free	2.-deallocation (of computer memory)	3.-Emancipation																								
JLPT-N2	46	温泉	おんせん	Noun	1.-hot spring	2.-onsen; hot spring resort; hot spring spa	3.-Onsen																								
JLPT-N2	47	書店	しょてん	Noun	1.-bookshop; bookstore	2.-Bookselling																									
JLPT-N2	48	液体	えきたい	Noun	1.-liquid	2.-Liquid																									
JLPT-N2	49	果実	かじつ	Noun	1.-fruit; nut; berry	2.-fruits; profit	3.-Fruit																								
JLPT-N2	50	煙突	えんとつ	Noun	1.-chimney; smokestack; funnel (of a ship); stovepipe	2.-carrying a passenger without turning on the taximeter	3.-Chimney																								
JLPT-N2	51	演劇	えんげき	Noun, No-adjective	1.-drama; theatre; theater; play	2.-Theatre																									
JLPT-N2	52	垣根	かきね	Noun	1.-hedge; fence	2.-Hedge																									
JLPT-N2	53	通勤	つうきん	Noun, Suru verb	1.-commuting to work	2.-Commuting																									
JLPT-N2	54	過失	かしつ	Noun	1.-accident (caused by negligence); error; blunder	2.-fault; defect	3.-Negligence																								
JLPT-N2	55	広場	ひろば	Noun	1.-public square; square; plaza; piazza; forum	2.-open space; clearing	3.-Town square																								
JLPT-N2	56	井戸	いど	Noun	1.-water well	2.-Water well																									
JLPT-N2	57	通訳	つうやく	Noun, Suru verb	1.-interpretation (i.e. oral translation)	2.-interpreter	3.-Language interpretation																								
JLPT-N2	58	皮膚	ひふ	Noun, No-adjective	1.-skin	2.-Skin																									
JLPT-N2	59	電池	でんち	Noun	1.-battery; cell	2.-Battery (electricity)																									
JLPT-N2	60	宣伝	せんでん	Noun, Suru verb	1.-publicity; advertisement; advertising; propaganda	2.-Promotion (marketing)																									
JLPT-N2	61	皮膚	ひふ	Noun, No-adjective	1.-skin	2.-Skin																									
JLPT-N2	62	乾燥	かんそう	Noun, Suru verb	1.-dryness; aridity; drying (e.g. clothes); dehydration; desiccation	2.-insipidity	3.-Desiccation																								
JLPT-N2	63	矛盾	むじゅん	Noun, Suru verb, No-adjective	1.-contradiction; inconsistency	2.-Contradiction																									
JLPT-N2	64	吹雪	ふぶき	Noun	1.-snow storm; blizzard	2.-Blizzard																									
JLPT-N2	65	車庫	しゃこ	Noun	1.-garage; carport; depot (trains, buses, etc.)	2.-Garage (house)																									
JLPT-N2	66	花火	はなび	Noun	1.-fireworks	2.-Fireworks																									
JLPT-N2	67	回転	かいてん	Noun, Suru verb	1.-rotation (usu. around something); revolution; turning	2.-Rotation																									
JLPT-N2	68	基礎	きそ	Noun, No-adjective	1.-foundation; basis	2.-Foundation (engineering)																									
JLPT-N2	69	火山	かざん	Noun, No-adjective	1.-volcano	2.-Volcano																									
JLPT-N2	70	競馬	けいば	Noun, No-adjective	1.-horse racing	2.-Horse racing																									
JLPT-N2	71	中世	ちゅうせい	Adverbial noun, Temporal noun	1.-Middle Ages (in Japan esp. the Kamakura and Muromachi periods); medieval times; mediaeval times	2.-Middle Ages																									
JLPT-N2	72	観念	かんねん	Noun	1.-idea; notion; concept; conception	2.-sense (e.g. of duty)	3.-resignation; preparedness; acceptance	4.-observation and contemplation; meditation	5.-Idea																						
JLPT-N2	73	水素	すいそ	Noun	1.-hydrogen (H)	2.-Hydrogen																									
JLPT-N2	74	通貨	つうか	Noun, No-adjective	1.-currency	2.-Currency																									
JLPT-N2	75	枕	まくら	Noun, Noun - used as a suffix	1.-pillow; bolster	2.-introduction (e.g. to a rakugo story); lead-in	3.-Pillow																								
JLPT-N2	76	虹	にじ	Noun	1.-rainbow	2.-Rainbow																									
JLPT-N2	77	相撲	すもう	Noun	1.-sumo wrestling	2.-wrestler; rikishi	3.-Sumo																								
JLPT-N2	78	公害	こうがい	Noun, No-adjective	1.-pollution; public nuisance; contamination	2.-Pollution																									
JLPT-N2	79	角度	かくど	Noun, No-adjective	1.-angle	2.-Angle																									
JLPT-N2	80	並行	へいこう	Noun, Suru verb, No-adjective	1.-going side-by-side; going abreast	2.-running concurrently; occurring at the same time; keeping pace with	3.-Parallel (geometry)																								
JLPT-N2	81	空想	くうそう	Noun, Suru verb, No-adjective	1.-daydream; fantasy; fancy; vision	2.-Fantasy (psychology)																									
JLPT-N2	82	角度	かくど	Noun, No-adjective	1.-angle	2.-Angle																									
JLPT-N2	83	停電	ていでん	Noun, Suru verb	1.-power outage; electricity outage; blackout; failure of electricity supply	2.-Power outage																									
JLPT-N2	84	商業	しょうぎょう	Noun, No-adjective	1.-commerce; trade; business	2.-Commerce																									
JLPT-N2	85	政党	せいとう	Noun, No-adjective	1.-political party	2.-Political party																									
JLPT-N2	86	灰色	はいいろ	Noun, No-adjective	1.-grey; gray; ashen	2.-Grey																									
JLPT-N2	87	公害	こうがい	Noun, No-adjective	1.-pollution; public nuisance; contamination	2.-Pollution																									
JLPT-N2	88	百科事典	ひゃっかじてん	Noun	1.-encyclopedia; encyclopaedia	2.-Encyclopedia																									
JLPT-N2	89	足跡	あしあと	Noun	1.-footprints	2.-record of page visitors (e.g. in social networking sites)	3.-Footprint																								
JLPT-N2	90	名所	めいしょ	Noun	1.-famous place	2.-name of a part (of an instrument, etc.)	3.-name and address	4.-Meisho																							
JLPT-N2	91	公式	こうしき	No-adjective, Noun	1.-formal; official	2.-formula (e.g. mathematical)	3.-Formula																								
JLPT-N2	92	公共	こうきょう	Noun, No-adjective	1.-public; community; public service; society; communal	2.-Public																									
JLPT-N2	93	牧場	ぼくじょう	Noun	1.-farm (livestock); stock farm; ranch; station	2.-pasture; meadow; grazing land	3.-Ranch																								
JLPT-N2	94	姿勢	しせい	Noun	1.-posture; pose; position; stance; carriage (of the body)	2.-attitude; approach; stance	3.-Human positions																								
JLPT-N2	95	血液	けつえき	Noun	1.-blood	2.-Blood																									
JLPT-N2	96	死体	したい	Noun	1.-dead body; corpse; cadaver; carcass	2.-Cadaver																									
JLPT-N2	97	紅葉	こうよう	Noun, Suru verb	1.-autumn colours; fall colors; leaves changing color (colour)	2.-leaves turning red; red leaves	3.-leaves turning yellow; yellow leaves	4.-(Japanese) maple (Acer japonicum)	5.-venison	6.-layered colors in garments, resembling autumn colors	7.-Autumn leaf color																				
JLPT-N2	98	車輪	しゃりん	Noun	1.-(vehicle) wheel	2.-Wheel																									
JLPT-N2	99	蒸気	じょうき	Noun	1.-steam; vapour; vapor	2.-steamboat; steam locomotive	3.-Vapor																								
JLPT-N2	100	強化	きょうか	Noun, Suru verb	1.-strengthening; intensifying; reinforcement; enhancement; solidification	2.-Reinforcement																									
JLPT-N2	101	神話	しんわ	Noun, No-adjective	1.-myth; legend	2.-Mythology																									
JLPT-N2	102	寺院	じいん	Noun	1.-Buddhist temple	2.-religious building; church; cathedral; mosque	3.-Temple																								
JLPT-N2	103	薬局	やっきょく	Noun	1.-pharmacy; drugstore; chemist's (shop)	2.-hospital pharmacy; dispensary	3.-Pharmacy																								
JLPT-N2	104	乗り換え	のか	Noun, Suru verb	1.-transfer (trains, buses, etc.); change; connection	2.-switch (to another ideology, party, system, method, etc.); change; conversion	3.-switching (stock)	4.-chromosomal crossover; crossing over	5.-Transfer																						
JLPT-N2	105	磁石	じしゃく	Noun, No-adjective	1.-magnet	2.-compass	3.-Magnet																								
JLPT-N2	106	大工	だいく	Noun	1.-carpenter	2.-Carpentry																									
JLPT-N2	107	森林	しんりん	Noun, No-adjective	1.-forest; woods	2.-Forest																									
JLPT-N2	108	消化	しょうか	Noun, Suru verb	1.-digestion (of food)	2.-digestion (of information); assimilation; thorough understanding	3.-consumption; absorption; using up; meeting (e.g. a quota); completion	4.-losing one's form and turning into something else	5.-Digestion																						
JLPT-N2	109	看板	かんばん	Noun	1.-signboard; sign; billboard; hoarding; doorplate	2.-draw; attraction; feature; highlight; spokesman; figurehead	3.-reputation (of a shop); name	4.-appearance; look; show	5.-closing (for the day, esp. of a restaurant or bar); closing time	6.-Billboard																					
JLPT-N2	110	文体	ぶんたい	Noun	1.-literary style	2.-form of (written) language (e.g. classical, modern)	3.-Style (fiction)																								
JLPT-N2	111	面積	めんせき	Noun	1.-square measure; size (e.g. of land); area; surface	2.-Area																									
JLPT-N2	112	撮影	さつえい	Noun, Suru verb	1.-photography (still or motion); photographing; filming; shooting; (video) recording	2.-Cinematography																									
JLPT-N2	113	家屋	かおく	Noun	1.-house; building	2.-House																									
JLPT-N2	114	東洋	とうよう	Noun	1.-the East; the Orient; (East) Asia	2.-Japan	3.-Orient																								
JLPT-N2	115	電力	でんりょく	Noun	1.-electric power	2.-Electric power																									
JLPT-N2	116	滝	たき	Noun	1.-waterfall	2.-rapids	3.-Waterfall																								
JLPT-N2	117	顕微鏡	けんびきょう	Noun	1.-microscope	2.-Microscope																									
JLPT-N2	118	寮	りょう	Noun	1.-hostel; dormitory	2.-bureau (government department beneath a ministry under the ritsuryo system)	3.-tea-ceremony room	4.-villa	5.-Dormitory																						
JLPT-N2	119	酢	す	Noun	1.-vinegar	2.-Vinegar																									
JLPT-N2	120	方言	ほうげん	Noun, No-adjective	1.-dialect	2.-Dialect																									
JLPT-N2	121	風船	ふうせん	Noun	1.-balloon (esp. small, toy variety)	2.-airship; blimp	3.-Balloon																								
JLPT-N2	122	継続	けいぞく	Noun, Suru verb, No-adjective	1.-continuation	2.-Continuation																									
JLPT-N2	123	刺身	さしみ	Noun	1.-sashimi (raw sliced fish, shellfish or crustaceans)	2.-Sashimi																									
JLPT-N2	124	伝記	でんき	Noun, No-adjective	1.-biography; life story	2.-Biography																									
JLPT-N2	125	国籍	こくせき	Noun	1.-nationality; citizenship	2.-nationality (ship, airplane, etc.); registration; flag	3.-Nationality																								
JLPT-N2	126	将棋	しょうぎ	Noun	1.-shogi; Japanese chess	2.-Shogi																									
JLPT-N2	127	血圧	けつあつ	Noun	1.-blood pressure	2.-Blood pressure																									
JLPT-N2	128	直線	ちょくせん	Noun, No-adjective	1.-straight line	2.-Line (geometry)																									
JLPT-N2	129	無限	むげん	Noun	1.-infinity; infinitude; eternity	2.-infinite; limitless	3.-Infinity																								
JLPT-N2	130	反省	はんせい	Noun, Suru verb	1.-reflection; reconsideration; introspection; meditation; contemplation	2.-regret; repentance; remorse; being sorry	3.-Human self-reflection																								
JLPT-N2	131	楽器	がっき	Noun, No-adjective	1.-musical instrument	2.-Musical instrument																									
JLPT-N2	132	給与	きゅうよ	Noun	1.-pay; salary; wages	2.-allowance; grant; supply; providing with	3.-Salary																								
JLPT-N2	133	診断	しんだん	Noun, Suru verb, No-adjective	1.-diagnosis; medical examination	2.-Medical diagnosis																									
JLPT-N2	134	倉庫	そうこ	Noun	1.-storehouse; warehouse; godown	2.-Warehouse																									
JLPT-N2	135	噴火	ふんか	Noun, Suru verb	1.-eruption; volcanic eruption	2.-Vulcanian eruption																									
JLPT-N2	136	手首	てくび	Noun	1.-wrist	2.-Wrist																									
JLPT-N2	137	銅	どう	Noun	1.-copper (Cu)	2.-bronze (medal)	3.-Copper																								
JLPT-N2	138	明け方	あがた	Adverbial noun, Temporal noun	1.-dawn	2.-Dawn																									
JLPT-N2	139	香水	こうすい	Noun	1.-perfume	2.-Perfume																									
JLPT-N2	140	彫刻	ちょうこく	Noun, Suru verb	1.-carving; engraving; sculpture	2.-Sculpture																									
