0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
JLPT-N5	1	学校	がっこう	Noun	1.-school	2.-Gakkou	3.-School																								
JLPT-N5	2	川	かわ	Noun	1.-river; stream	2.-River; the ... river	3.-Gawa	4.-River																							
JLPT-N5	3	手	て	Noun	1.-hand; arm	2.-forepaw; foreleg	3.-handle	4.-hand; worker; help	5.-trouble; care; effort	6.-means; way; trick; move; technique; workmanship	7.-hand; handwriting	8.-kind; type; sort	9.-one's hands; one's possession	10.-ability to cope	11.-hand (of cards)	12.-direction	13.-move (in go, shogi, etc.)	14.-Te	15.-Hand												
JLPT-N5	4	戸	と	Noun	1.-door (esp. Japanese-style)	2.-shutter; window shutter	3.-entrance (to a home)	4.-narrows	5.-To	6.-Gate																					
JLPT-N5	5	眼鏡	めがね	Noun	1.-glasses; eyeglasses; spectacles	2.-judgment; judgement; discrimination; discernment; insight	3.-Megane	4.-Glasses																							
JLPT-N5	6	煙草	たばこ	Noun	1.-tobacco; cigarette; cigaret; cigar	2.-tobacco plant (Nicotiana tabacum)	3.-Tabaco	4.-Tobacco																							
JLPT-N5	7	赤	あか	Noun	1.-red; crimson; scarlet	2.-red-containing colour (e.g. brown, pink, orange)	3.-Red (i.e. communist)	4.-red light (traffic)	5.-red ink (i.e. in finance or proof-reading); (in) the red	6.-complete; total; perfect; obvious	7.-copper	8.-red poetry ribbon card (in hanafuda)	9.-Aka	10.-Red																	
JLPT-N5	8	仕事	しごと	Noun, Suru verb, No-adjective	1.-work; job; business; occupation; employment; vocation; task	2.-work	3.-Work																								
JLPT-N5	9	英語	えいご	Noun, No-adjective	1.-English (language)	2.-English language																									
JLPT-N5	10	問題	もんだい	Noun	1.-question (e.g. on a test); problem	2.-problem (e.g. societal, political); question; issue; subject (e.g. of research); case; matter	3.-question (i.e. doubt)	4.-public discussion; controversy	5.-trouble; problem; inconvenience; difficulty	6.-Problem																					
JLPT-N5	11	部屋	へや	Noun	1.-room; chamber	2.-apartment; flat; pad	3.-stable	4.-Room																							
JLPT-N5	12	子供	こども	Noun	1.-child	2.-Child																									
JLPT-N5	13	時間	じかん	Noun	1.-time	2.-hour	3.-period; class; lesson	4.-Time																							
JLPT-N5	14	雨	あめ	Noun, No-adjective	1.-rain	2.-Rain																									
JLPT-N5	15	先生	せんせい	Noun	1.-teacher; instructor; master	2.-Sensei; title or form of address for a teacher, master, doctor, lawyer, etc.	3.-intimate or teasing form of address	4.-one's elder	5.-Sensei																						
JLPT-N5	16	年	とし	Noun	1.-year	2.-age; years	3.-past one's prime; old age	4.-Year																							
JLPT-N5	17	手紙	てがみ	Noun	1.-letter	2.-Letter (message)																									
JLPT-N5	18	電話	でんわ	Noun, Suru verb, No-adjective	1.-telephone call; phone call	2.-telephone (device); phone	3.-Telephony																								
JLPT-N5	19	水	みず	Noun	1.-water (esp. cool, fresh water, e.g. drinking water)	2.-fluid (esp. in an animal tissue); liquid	3.-flood; floodwaters	4.-water offered to wrestlers just prior to a bout	5.-break granted to wrestlers engaged in a prolonged bout	6.-Water																					
JLPT-N5	20	病気	びょうき	Noun, No-adjective, Suru verb	1.-illness (usu. excluding minor ailments, e.g. colds); disease; sickness	2.-weirdness; bad habit; bad behaviour; craziness; perversion	3.-Disease																								
JLPT-N5	21	会社	かいしゃ	Noun	1.-company; corporation	2.-workplace	3.-Company																								
JLPT-N5	22	上げる	あ	Ichidan verb, Transitive verb	1.-to raise; to elevate	2.-to do up (one's hair)	3.-to fly (a kite, etc.); to launch (fireworks, etc.); to surface (a submarine, etc.)	4.-to land (a boat)	5.-to deep-fry	6.-to show someone (into a room)	7.-to give	8.-to send someone (away)	9.-to enrol (one's child in school); to enroll	10.-to increase (price, quality, status, etc.); to develop (talent, skill); to improve	11.-to make (a loud sound); to raise (one's voice)	12.-to earn (something desirable)	13.-to praise	14.-to give (an example, etc.); to cite	15.-to summon up (all of one's energy, etc.)	16.-to arrest	17.-to nominate	18.-to summon (for geishas, etc.)	19.-to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.)	20.-to bear (a child)	21.-to conduct (a ceremony, esp. a wedding)	22.-(of the tide) to come in	23.-to vomit	24.-to do for (the sake of someone else)	25.-to complete ...	26.-to humbly do ...	27.-Deep frying
JLPT-N5	23	結婚	けっこん	Noun, No-adjective, Suru verb	1.-marriage	2.-Marriage																									
JLPT-N5	24	言葉	ことば	Noun	1.-language; dialect	2.-word; words; phrase; term; expression; remark	3.-speech; (manner of) speaking	4.-learning to speak; language acquisition	5.-Ci (poetry)																						
JLPT-N5	25	目	め	Noun	1.-eye; eyeball	2.-eyesight; sight; vision	3.-look; stare; gaze; glance	4.-notice; attention; observation; eyes (of the world, public, etc.)	5.-an experience	6.-viewpoint	7.-discrimination; discernment; judgement; eye (e.g. for quality)	8.-appearance	9.-spacing (between crossed strands of a net, mesh, etc.); opening; stitch; texture; weave	10.-grain (of wood)	11.-eye (of a storm, needle, etc.)	12.-intersection (on a go board); square (on a chess board)	13.-dot (on a dice); pip; rolled number	14.-graduation; division (of a scale)	15.-tooth (of a saw, comb, etc.)	16.-ordinal number suffix	17.-somewhat; -ish	18.-point (e.g. of change)	19.-Eye								
JLPT-N5	26	走る	はし	Godan verb with ru ending, intransitive verb	1.-to run	2.-to travel (movement of vehicles); to drive; to flow (e.g. energy)	3.-to hurry to	4.-to retreat (from battle); to take flight	5.-to run away from home	6.-to elope	7.-to tend heavily toward	8.-to flash; to streak; to shoot through (e.g. pain)	9.-to get involved; to take (to something); to get wrapped up in	10.-Running																	
JLPT-N5	27	名前	なまえ	Noun	1.-name	2.-given name; first name	3.-Name																								
JLPT-N5	28	旅行	りょこう	Noun, Suru verb	1.-travel; trip; journey; excursion; tour	2.-Travel																									
